0,0,101,47,13
0,1,114,44,15
0,2,125,41,19
0,3,138,38,23
0,4,158,41,27
0,5,170,41,29
0,6,186,44,33
0,7,210,49,36
0,8,240,50,37
0,9,252,48,34
0,10,253,51,33
0,11,253,50,35
0,12,253,50,43
0,13,255,49,56
0,14,253,48,68
0,15,248,47,81
0,16,244,46,100
0,17,242,41,117
0,18,231,40,129
0,19,227,45,142
0,20,212,61,144
0,21,199,64,145
0,22,188,69,151
0,23,177,69,148
0,24,167,70,151
0,25,152,70,150
0,26,145,74,151
0,27,135,73,151
0,28,128,73,154
0,29,119,74,155
1,0,141,77,28
1,1,155,75,29
1,2,164,70,30
1,3,183,72,34
1,4,196,67,35
1,5,211,60,38
1,6,226,57,37
1,7,244,52,35
1,8,252,53,33
1,9,253,59,40
1,10,255,62,48
1,11,253,59,58
1,12,253,53,65
1,13,254,54,74
1,14,252,52,92
1,15,253,49,110
1,16,253,43,123
1,17,249,42,142
1,18,231,64,146
1,19,215,76,149
1,20,200,80,150
1,21,187,77,150
1,22,176,76,149
1,23,165,76,149
1,24,157,75,152
1,25,147,74,150
1,26,133,74,151
1,27,128,73,154
1,28,118,72,151
1,29,105,69,150
2,0,138,21,21
2,1,138,44,21
2,2,138,67,21
2,3,138,91,21
2,4,138,114,21
2,5,138,138,21
2,6,114,138,21
2,7,91,138,21
2,8,67,138,21
2,9,44,138,21
2,10,21,138,21
2,11,21,138,44
2,12,21,138,67
2,13,21,138,91
2,14,21,138,114
2,15,21,138,138
2,16,21,114,138
2,17,21,91,138
2,18,21,67,138
2,19,21,44,138
2,20,21,21,138
2,21,44,21,138
2,22,67,21,138
2,23,91,21,138
2,24,114,21,138
2,25,138,21,138
2,26,138,21,114
2,27,138,21,91
2,28,138,21,67
2,29,138,21,44
3,0,156,23,23
3,1,156,50,23
3,2,156,76,23
3,3,156,103,23
3,4,156,129,23
3,5,156,156,23
3,6,129,156,23
3,7,103,156,23
3,8,76,156,23
3,9,50,156,23
3,10,23,156,23
3,11,23,156,50
3,12,23,156,76
3,13,23,156,103
3,14,23,156,129
3,15,23,156,156
3,16,23,129,156
3,17,23,103,156
3,18,23,76,156
3,19,23,50,156
3,20,23,23,156
3,21,50,23,156
3,22,76,23,156
3,23,103,23,156
3,24,129,23,156
3,25,156,23,156
3,26,156,23,129
3,27,156,23,103
3,28,156,23,76
3,29,156,23,50
4,0,173,26,26
4,1,173,55,26
4,2,173,85,26
4,3,173,114,26
4,4,173,144,26
4,5,173,173,26
4,6,144,173,26
4,7,114,173,26
4,8,85,173,26
4,9,55,173,26
4,10,26,173,26
4,11,26,173,55
4,12,26,173,85
4,13,26,173,114
4,14,26,173,144
4,15,26,173,173
4,16,26,144,173
4,17,26,114,173
4,18,26,85,173
4,19,26,55,173
4,20,26,26,173
4,21,55,26,173
4,22,85,26,173
4,23,114,26,173
4,24,144,26,173
4,25,173,26,173
4,26,173,26,144
4,27,173,26,114
4,28,173,26,85
4,29,173,26,55
5,0,191,29,29
5,1,191,61,29
5,2,191,94,29
5,3,191,126,29
5,4,191,159,29
5,5,191,191,29
5,6,159,191,29
5,7,126,191,29
5,8,94,191,29
